paper_id,ambiguous_group,author_name,coauthors,title,abstract,keywords,venue,year,ground_truth_label,source_dataset
P2-3086,J. Robinson,John P. Robinson,Sudhakar M. Reddy; George I. Davida,class high rate doubl error correct convolut code,,,Information And Control,1970,jrobinson-3,DBLP_benchmark_14
P2-1754,J. Robinson,John P. Robinson,Geetani Edirisooriya,alias multipl valu test data compact,,,Ismvl,1992,jrobinson-3,DBLP_benchmark_14
P2-956,J. Robinson,John P. Robinson,Geetani Edirisooriya,alias probabl multipl input linear signatur automata q ari symmetr error,,,Iccd,1991,jrobinson-3,DBLP_benchmark_14
P2-3038,J. Robinson,John P. Robinson,Geetani Edirisooriya,alias properti circular misr,,,J. Electronic Testing,1993,jrobinson-3,DBLP_benchmark_14
P2-3916,J. Robinson,John P. Robinson,Cheng Hsien Tung,fast algorithm optimum syndrom space compress,,,Ieee Trans. Computers,1988,jrobinson-3,DBLP_benchmark_14
P2-1793,J. Robinson,John P. Robinson,Cheng Hsien Tung,concurr testabl microprogram control unit,,,Itc,1986,jrobinson-3,DBLP_benchmark_14
P2-3899,J. Robinson,John P. Robinson,Chia-Lung Yeh,method modulo minim,,,Ieee Trans. Computers,1982,jrobinson-3,DBLP_benchmark_14
P2-1750,J. Robinson,Jerome Robinson,Barry G. T. Lowden,extend queri answer integr rule,,,Ismis,2000,jrobinson-4,DBLP_benchmark_14
P2-505,J. Robinson,Jerome Robinson,Barry G. T. Lowden,extend queri result remot client site,,,Dexa,2000,jrobinson-4,DBLP_benchmark_14
P2-2037,J. Robinson,Jerome Robinson,Simon H. Lavington; M. E. Waite; Neil Dewhurst,exploit parallel primit oper bulk data type,,,Parle,1992,jrobinson-4,DBLP_benchmark_14
P2-1863,J. Robinson,Jerome Robinson,Barry G. T. Lowden,semant queri optimis rule graph,,,Krdb,1998,jrobinson-4,DBLP_benchmark_14
P2-1751,J. Robinson,Jerome Robinson,Barry G. T. Lowden,statist approach rule select semant queri optimis,,,Ismis,1999,jrobinson-4,DBLP_benchmark_14
P2-507,J. Robinson,Jerome Robinson,Barry G. T. Lowden; Mohammed Al Haddad,utilis multipl comput databas queri process descriptor rule manag,,,Dexa,2001,jrobinson-4,DBLP_benchmark_14
P2-506,J. Robinson,Jerome Robinson,Barry G. T. Lowden,attribut pair rang rule,,,Dexa,1998,jrobinson-4,DBLP_benchmark_14
P2-1675,J. Robinson,Jerome Robinson,Barry G. T. Lowden; Mohammed Al Haddad,distribut deriv mainten subset descriptor rule,,,Isas-Sci (1),2001,jrobinson-4,DBLP_benchmark_14
P2-1517,J. Robinson,Jerome Robinson,Barry G. T. Lowden,data analysi queri process,,,Ida,1997,jrobinson-4,DBLP_benchmark_14
P2-2038,J. Robinson,Jerome Robinson,Shutian Lin,arithmet parallel linear recurs queri evalu deduct databas,,,Parle,1993,jrobinson-4,DBLP_benchmark_14
P2-2159,J. Robinson,Jerome Robinson,Mohammed Al Haddad,network workstat enhanc databas queri process perform,,,Pvm/Mpi,2001,jrobinson-4,DBLP_benchmark_14
P2-555,J. Robinson,Jerome Robinson,Simon H. Lavington,transit closur magic function machin,,,Dpds,1990,jrobinson-4,DBLP_benchmark_14
P2-494,J. Robinson,Jerome Robinson,Barry G. T. Lowden,construct inter relat rule semant queri optimis,,,Dexa,2002,jrobinson-4,DBLP_benchmark_14
P2-495,J. Robinson,Jerome Robinson,Barry G. T. Lowden,fast method ensur consist integr constraint,,,Dexa,1999,jrobinson-4,DBLP_benchmark_14
P2-2825,J. Robinson,John A. Robinson,Charles Robertson,livepap system augment paper enhanc tabletop,,,Computers & Graphics,2001,jrobinson-5,DBLP_benchmark_14
P2-1389,J. Robinson,John Robinson,Qing Song,featur space face imag process,,,Icpr,2000,jrobinson-5,DBLP_benchmark_14
P2-1781,J. Robinson,John A. Robinson,Andrew Vardy; Li-Te Cheng,wristcam input devic,,,Iswc,1999,jrobinson-5,DBLP_benchmark_14
P2-3215,J. Robinson,John A. Robinson,Lowell L. Winger; M. E. Jernigan,low complex charact extract low contrast scene imag,,,Ijprai,2000,jrobinson-5,DBLP_benchmark_14
P2-456,J. Robinson,John A. Robinson,,compress natur imag thread visual primit,,,Data Compression Conference,1991,jrobinson-5,DBLP_benchmark_14
P2-1779,J. Robinson,John Robinson,Li-Te Cheng,deal speed robust issu video base registr wearabl comput platform,,,Iswc,1998,jrobinson-5,DBLP_benchmark_14
P2-1930,J. Robinson,John A. Robinson,Li-Te Cheng; Rick Kazman,vibrotactil feedback delic virtual realiti oper,,,Acm Multimedia,1996,jrobinson-5,DBLP_benchmark_14
P2-3040,J. Robinson,John Robinson,Li-Te Cheng,person contextu awar visual focu,,,Ieee Intelligent Systems,2001,jrobinson-5,DBLP_benchmark_14
P2-1936,J. Robinson,John A. Robinson,T. H. Reeves,adapt foveat mpeg video,,,Acm Multimedia,1996,jrobinson-5,DBLP_benchmark_14
P2-1937,J. Robinson,John Robinson,Charles Robertson,live paper video augment simul interact paper,,,Acm Multimedia (2),1999,jrobinson-5,DBLP_benchmark_14
P2-1077,J. Robinson,John S. Robinson,Iain Sutherland; Sue M. Brandt; Andrew C. Jones; Suzanne M. Embury; W. A. Gray; Richard J. White; Frank A. Bisby,assist integr taxonom data litchi toolkit,,,Icde,2000,jrobinson-6,DBLP_benchmark_14
P2-2569,J. Robinson,John S. Robinson,Xuebiao Xu; Andrew C. Jones; Nick Pittas; W. A. Gray; N. J. Fiddian; Richard J. White; Frank A. Bisby; Sue M. Brandt,experi hybrid implement global distribut feder databas system,,,Waim,2001,jrobinson-6,DBLP_benchmark_14
P2-2413,J. Robinson,John S. Robinson,Andrew C. Jones; W. A. Gray; Jonathan Giddy; N. J. Fiddian,grid biodivers research grab demonstr,,,Ssdbm,2002,jrobinson-6,DBLP_benchmark_14
P2-2421,J. Robinson,John S. Robinson,Iain Sutherland; Suzanne M. Embury; Andrew C. Jones; W. A. Gray; Richard J. White; Frank A. Bisby; Sue M. Brandt,litchi knowledg integr test taxonom databas,,,Ssdbm,1999,jrobinson-6,DBLP_benchmark_14
P2-2411,J. Robinson,John S. Robinson,Suzanne M. Embury; Andrew C. Jones; Iain Sutherland; W. A. Gray; Richard J. White; Frank A. Bisby; Sue M. Brandt,conflict detect integr taxonom data sourc,,,Ssdbm,1999,jrobinson-6,DBLP_benchmark_14
P2-2414,J. Robinson,John S. Robinson,Andrew C. Jones; Iain Sutherland; Suzanne M. Embury; W. A. Gray; Richard J. White; Frank A. Bisby; Sue M. Brandt,techniqu effect integr mainten evolut speci databas,,,Ssdbm,2000,jrobinson-6,DBLP_benchmark_14
P2-3292,J. Robinson,John S. Robinson,Suzanne M. Embury; Sue M. Brandt; Iain Sutherland; Frank A. Bisby; W. A. Gray; Andrew C. Jones; Richard J. White,adapt integr enforc techniqu data reconcili,,,Inf. Syst.,2001,jrobinson-6,DBLP_benchmark_14
P2-473,J. Robinson,John S. Robinson,Andrew C. Jones; Xuebiao Xu; Nick Pittas; W. A. Gray; N. J. Fiddian; Richard J. White; Frank A. Bisby; Sue M. Brandt,spice flexibl architectur integr autonom databas compris distribut catalogu life,,,Dexa,2000,jrobinson-6,DBLP_benchmark_14
P2-832,J. Robinson,Jonathan Robinson,Samuel H. Russ; Brian K. Flachs; Bjorn Heckel,task migrat implement messag pass interfac,,,Hpdc,1996,jrobinson-7,DBLP_benchmark_14
P2-833,J. Robinson,Jonathan Robinson,Samuel H. Russ; Ioana Banicescu; Sheikh Ghafoor; Bharathi Janapareddi; Rong Lu,hectil integr fine coars grain load balanc strategi,,,Hpdc,1998,jrobinson-7,DBLP_benchmark_14
P2-1651,J. Robinson,Jonathan Robinson,Samuel H. Russ; Brian K. Flachs; Bjorn Heckel,hector autom task alloc mpi,,,Ipps,1996,jrobinson-7,DBLP_benchmark_14
P2-4089,J. Robinson,Jonathan Robinson,Samuel H. Russ; Brian K. Flachs; Bjorn Heckel,hector distribut run time environ,,,Ieee Trans. Parallel Distrib. Syst.,1998,jrobinson-7,DBLP_benchmark_14
P2-2929,J. Robinson,Jonathan Robinson,Samuel H. Russ; Matt Gleeson; Brad Meyers; Laxman Rajagopalan; Chun-Heong Tan,hector run mpi program network workstat,,,Concurrency - Practice And Experience,1999,jrobinson-7,DBLP_benchmark_14
P2-3606,J. Robinson,James Robinson,Matthew J. Waller; Peter Parham; Julia G. Bodmer; Steven G. E. Marsh,imgt hla databas sequenc databas human major histocompat complex,,,Nucleic Acids Research,2001,jrobinson-8,DBLP_benchmark_14
P2-3607,J. Robinson,James Robinson,Matthew J. Waller; Peter Parham; Natasja De Groot; Ronald Bontrop; Lorna J. Kennedy; Peter Stoehr; Steven G. E. Marsh,imgt hla imgt mhc sequenc databas studi major histocompat complex,,,Nucleic Acids Research,2003,jrobinson-8,DBLP_benchmark_14
P2-3608,J. Robinson,James Robinson,Manuel Ruiz; Veronique Giudicelli; Chantal Ginestoux; Peter Stoehr; Julia G. Bodmer; Steven G. E. Marsh; Ronald Bontrop; Marc Lemaitre; Gerard Lefranc; Denys Chaume; Marie-Paule Lefranc,imgt intern immunogenet databas,,,Nucleic Acids Research,2000,jrobinson-8,DBLP_benchmark_14
P2-2641,J. Robinson,Jennifer K. Robinson,Navdeep S. Grewal; Alvin C. Bruska; Timbur M. Wulf,valid simul model cycl time seagat technolog,,,Winter Simulation Conference,1999,jrobinson-9,DBLP_benchmark_14
P2-2640,J. Robinson,Jennifer K. Robinson,Navdeep S. Grewal; Alvin C. Bruska; Timbur M. Wulf,integr target cycl time reduct capit plan process,,,Winter Simulation Conference,1998,jrobinson-9,DBLP_benchmark_14
P2-2629,J. Robinson,Jennifer Robinson,Frank Chance; John W. Fowler,support manufactur simul model design develop deploy,,,Winter Simulation Conference,1996,jrobinson-9,DBLP_benchmark_14
P2-2636,J. Robinson,Jennifer Robinson,Joerg Domaschke; Steven Brown; Franz Leibl,effect implement cycl time reduct strategi semiconductor back end manufactur,,,Winter Simulation Conference,1998,jrobinson-9,DBLP_benchmark_14
P2-2646,J. Robinson,Jennifer K. Robinson,Richard Giglio,capac plan semiconductor wafer fabric time constraint oper,,,Winter Simulation Conference,1999,jrobinson-9,DBLP_benchmark_14
P2-1093,J. Smith,Jim Smith,Terence C. Fogarty,adapt mutat rate steadi state genet algorithm,,,International Conference On Evolutionary Computation,1996,jsmith-10,DBLP_benchmark_14
P2-745,J. Smith,Jim Smith,Natalio Krasnogor,memet algorithm adapt local search tsp case studi,,,Gecco,2000,jsmith-10,DBLP_benchmark_14
P2-69,J. Smith,Jim Smith,Terence C. Fogarty,adapt poli parent recombin strategi,,,"Evolutionary Computing, Aisb Workshop",1995,jsmith-10,DBLP_benchmark_14
P2-687,J. Smith,Jim Smith,Robert Elliott Smith,method tunabl random landscap,,,Foga,2000,jsmith-10,DBLP_benchmark_14
P2-3075,J. Smith,James Smith,,appropri adapt level learn gene linkag,,,Genetic Programming And Evolvable Machines,2002,jsmith-10,DBLP_benchmark_14
P2-686,J. Smith,Jim Smith,,paramet perturb mechan binari code ga adapt mutat,,,Foga,2002,jsmith-10,DBLP_benchmark_14
P2-3809,J. Smith,Jim Smith,Terence C. Fogarty,oper paramet adapt genet algorithm,,,Soft Comput.,1997,jsmith-10,DBLP_benchmark_14
P2-1094,J. Smith,Jim Smith,Terence C. Fogarty,recombin strategi adapt evolut gene linkag,,,International Conference On Evolutionary Computation,1996,jsmith-10,DBLP_benchmark_14
P2-688,J. Smith,Jim Smith,Frank Vavak,replac strategi steadi state genet algorithm static environ,,,Foga,1998,jsmith-10,DBLP_benchmark_14
P2-618,J. Smith,Jim E. Smith,Michal Steuer; Praminda Caleb-Solly,altern approach evalu neocognitron,,,Esann,2001,jsmith-10,DBLP_benchmark_14
P2-750,J. Smith,Jim E. Smith,Christopher Stone,strategi paramet varieti adapt mutat rate,,,Gecco,2002,jsmith-10,DBLP_benchmark_14
P2-2144,J. Smith,Jim Smith,,evolv memet algorithm initi investig,,,Ppsn,2002,jsmith-10,DBLP_benchmark_14
P2-740,J. Smith,James Smith,Robert D. Carr; William E. Hart; Natalio Krasnogor; Jonathan D. Hirst; Edmund K. Burke,align protein structur memet evolutionari algorithm,,,Gecco,2002,jsmith-10,DBLP_benchmark_14
P2-2145,J. Smith,Jim Smith,Terence C. Fogarty,adapt parameteris evolutionari system adapt recombin mutat genet algorithm,,,Ppsn,1996,jsmith-10,DBLP_benchmark_14
P2-70,J. Smith,Jim Smith,Terence C. Fogarty,evolv softwar test data ga s learn express,,,"Evolutionary Computing, Aisb Workshop",1996,jsmith-10,DBLP_benchmark_14
P2-758,J. Smith,Jim Smith,Anastasios Gounaris; Paul Watson; Norman W. Paton; Alvaro A. A. Fernandes; Rizos Sakellariou,distribut queri process grid,,,Grid,2002,jsmith-11,DBLP_benchmark_14
P2-2007,J. Smith,Jim Smith,Sandra De F. Mendes Sampaio; Norman W. Paton; Paul Watson,valid cost model parallel oql queri process,,,Oois,2002,jsmith-11,DBLP_benchmark_14
P2-529,J. Smith,Jim Smith,Sandra De F. Mendes Sampaio; Norman W. Paton; Paul Watson,parallel algebra object databas,,,Dexa Workshop,1999,jsmith-11,DBLP_benchmark_14
P2-530,J. Smith,Jim Smith,Sandra De F. Mendes Sampaio; Norman W. Paton; Paul Watson,experi object navig parallel object databas,,,Dexa Workshop,2001,jsmith-11,DBLP_benchmark_14
P2-646,J. Smith,Jim Smith,Paul Watson; Sandra De F. Mendes Sampaio; Norman W. Paton,speed navig request parallel object databas system,,,Euro-Par,2002,jsmith-11,DBLP_benchmark_14
P2-642,J. Smith,Jim Smith,Sandra De F. Mendes Sampaio; Norman W. Paton; Paul Watson,experiment perform evalu join algorithm parallel object databas,,,Euro-Par,2001,jsmith-11,DBLP_benchmark_14
P2-644,J. Smith,Jim Smith,,synchronis fault toler data comput intens program network workstat,,,Euro-Par,1997,jsmith-11,DBLP_benchmark_14
P2-232,J. Smith,Jim Smith,Paul Watson; Sandra De F. Mendes Sampaio; Norman W. Paton,polar architectur parallel odmg compliant object databas,,,Cikm,2000,jsmith-11,DBLP_benchmark_14
P2-645,J. Smith,Jim Smith,Santosh K. Shrivastava,system fault toler execut data comput intens program network workstat,,,"Euro-Par, Vol. I",1996,jsmith-11,DBLP_benchmark_14
P2-1542,J. Smith,J. L. Smith,Alan L. Leiner; W. A. Notz; Rosalind B. Marimont,concurr oper comput system,,,Ifip Congress,1959,jsmith-12,DBLP_benchmark_14
P2-3346,J. Smith,J. L. Smith,Alan L. Leiner; W. A. Notz; Arnold Weinberger,pilot multipl comput system,,,J. Acm,1959,jsmith-12,DBLP_benchmark_14
P2-2673,J. Smith,J. L. Smith,R. W. Drake,techniqu file recoveri,,,Australian Computer Journal,1971,jsmith-12,DBLP_benchmark_14
P2-2674,J. Smith,J. L. Smith,H. G. Mackenzie; D. M. Ryan,experi britton lee data base machin csironet,,,Australian Computer Journal,1984,jsmith-12,DBLP_benchmark_14
P2-2675,J. Smith,J. L. Smith,H. G. Mackenzie,implement data base manag system,,,Australian Computer Journal,1977,jsmith-12,DBLP_benchmark_14
P2-2677,J. Smith,J. L. Smith,,data base organis arrai processor,,,Australian Computer Journal,1972,jsmith-12,DBLP_benchmark_14
P2-2678,J. Smith,J. L. Smith,,altern architectur design distribut data base,,,Australian Computer Journal,1979,jsmith-12,DBLP_benchmark_14
P2-2669,J. Smith,J. L. Smith,D. J. Abel,simpl approach nearest neighbour problem,,,Australian Computer Journal,1984,jsmith-12,DBLP_benchmark_14
P2-2670,J. Smith,J. L. Smith,D. J. Abel,data structur queri algorithm databas areal entiti,,,Australian Computer Journal,1984,jsmith-12,DBLP_benchmark_14
P2-1462,J. Smith,Jeffrey S. Smith,Brett A. Peters,simul decis make tool real time control flexibl manufactur system,,,Icra,1998,jsmith-13,DBLP_benchmark_14
P2-2637,J. Smith,Jeffrey S. Smith,Glenn Drake,simul system real time plan schedul control,,,Winter Simulation Conference,1996,jsmith-13,DBLP_benchmark_14
P2-2650,J. Smith,Jeffrey S. Smith,Brett A. Peters; Sabina E. Jordan; Mark K. Snell,distribut real time simul intrud detect system analysi,,,Winter Simulation Conference,1999,jsmith-13,DBLP_benchmark_14
P2-2643,J. Smith,Jeffrey S. Smith,Sabina E. Jordan; Mark K. Snell; Marcella M. Madsen; Brett A. Peters,discret event simul design evalu physic protect system,,,Winter Simulation Conference,1998,jsmith-13,DBLP_benchmark_14
P2-2639,J. Smith,Jeffrey S. Smith,Fernando G. Gonzalez; Alicia Helton; Douglas Helton; Eileen Thompson; Gerry Walterscheild,design solid state physic model autom system test bed control applic,,,Winter Simulation Conference,2000,jsmith-13,DBLP_benchmark_14
P2-2638,J. Smith,Jeffrey S. Smith,Glenn Drake; Brett A. Peters,simul plan schedul tool flexibl manufactur system,,,Winter Simulation Conference,1995,jsmith-13,DBLP_benchmark_14
P2-2649,J. Smith,Jeffrey S. Smith,Brett A. Peters; James Curry; Glenn Drake; Cynthia Lajimodiere,advanc tutori simul base schedul control,,,Winter Simulation Conference,1996,jsmith-13,DBLP_benchmark_14
P2-2651,J. Smith,Jeffrey S. Smith,Richard A. Wysk; David T. Sturrock; Sanjay E. Ramaswamy; Glen D. Smith; Sanjay B. Joshi,discret event simul shop floor control,,,Winter Simulation Conference,1994,jsmith-13,DBLP_benchmark_14
P2-3683,J. Smith,J. Macgregor Smith,,m g c k block probabl model system perform,,,Perform. Eval.,2003,jsmith-14,DBLP_benchmark_14
P2-3617,J. Smith,J. Macgregor Smith,,topolog network design state depend queue network,,,Networks,1996,jsmith-14,DBLP_benchmark_14
P2-4098,J. Smith,J. Macgregor Smith,Rajat Jain,model vehicular traffic flow m g c c state depend queue model,,,Transportation Science,1997,jsmith-14,DBLP_benchmark_14
P2-3036,J. Smith,James Macgregor Smith,Laoucine Kerbache,multi object rout larg scale facil open finit queue network,,,European Journal Of Operational Research,2000,jsmith-14,DBLP_benchmark_14
P2-4096,J. Smith,J. Macgregor Smith,Peter Kubat; Calvin Yum,design cellular network divers capac constraint,,,Ieee Trans. Reliability,2000,jsmith-14,DBLP_benchmark_14
P2-3037,J. Smith,J. Macgregor Smith,Peter Kubat,multi period network design problem cellular telecommun system,,,European Journal Of Operational Research,2001,jsmith-14,DBLP_benchmark_14
P2-3412,J. Smith,J. Macgregor Smith,Wu-Ji Li,quadrat assign problem m g c c state depend network flow,,,J. Comb. Optim.,2001,jsmith-14,DBLP_benchmark_14
P2-2958,J. Smith,J. Macgregor Smith,Badri Toppur,euclidean steiner minim tree minimum energi configur embed problem weight graph e,,,Discrete Applied Mathematics,1996,jsmith-14,DBLP_benchmark_14
P2-2713,J. Smith,J. Macgregor Smith,J. F. Weng,steiner minim tree polygon obstacl,,,Algorithmica,2001,jsmith-14,DBLP_benchmark_14
P2-2714,J. Smith,J. Macgregor Smith,Pawel Winter,path distanc heurist steiner problem undirect network,,,Algorithmica,1992,jsmith-14,DBLP_benchmark_14
P2-3728,J. Smith,J. Macgregor Smith,S. J. Yuhaski Jr.,model circul system build state depend queue model,,,Queueing Syst.,1989,jsmith-14,DBLP_benchmark_14
P2-876,J. Smith,J. C. Smith,Cal Deedman,applic expert system technolog case base law,,,Icail,1987,jsmith-15,DBLP_benchmark_14
P2-875,J. Smith,J. C. Smith,,lexicon inform retriev legal databas,,,Icail,1997,jsmith-15,DBLP_benchmark_14
P2-873,J. Smith,J. C. Smith,Daphne Gelbart,boolean search flexicon legal tex base intellig system,,,Icail,1991,jsmith-15,DBLP_benchmark_14
P2-874,J. Smith,J. C. Smith,Daphne Gelbart,flexicon evalu statist rank model adapt intellig legal text manag,,,Icail,1993,jsmith-15,DBLP_benchmark_14
P2-2690,J. Smith,J. C. Smith,Daphne Gelbart; Keith Maccrimmon; Bruce Atherton; John Mcclean; Michelle Shinehoft; Lincoln Quintana,artifici intellig legal discours flexlaw legal text manag system,,,Artif. Intell. Law,1995,jsmith-15,DBLP_benchmark_14
P2-470,J. Smith,J. C. Smith,Daphne Gelbart,comprehens legal inform retriev system,,,Dexa,1990,jsmith-15,DBLP_benchmark_14
P2-3383,J. Smith,Jeremy C. Smith,Serge Crouzy; Jerome Baudry; Benoit Roux,effici calcul dimension adiabat free energi map applic isomer cc cn bond retin bacteriorhodopsin,,,Journal Of Computational Chemistry,1999,jsmith-16,DBLP_benchmark_14
P2-3390,J. Smith,Jeremy C. Smith,Jerome Baudry; Serge Crouzy; Benoit Roux,quantum chemic free energi simul analysi retin conform energet,,,Journal Of Chemical Information And Computer Sciences,1997,jsmith-16,DBLP_benchmark_14
P2-3388,J. Smith,Jeremy C. Smith,Andrea C. Vaiana; Andreas Schulz; Jurgen Wolfrum; Markus Sauer,molecular mechan forc field parameter fluoresc probe rhodamin g autom frequenc match,,,Journal Of Computational Chemistry,2003,jsmith-16,DBLP_benchmark_14
P2-3393,J. Smith,Jeremy C. Smith,Stephanie Hery; Daniel Genest,fluctuat correl crystallin lysozym,,,Journal Of Chemical Information And Computer Sciences,1997,jsmith-16,DBLP_benchmark_14
P2-3298,J. Smith,Jeremy C. Smith,Sonja M. Schwarzl; Danzhi Huang; Stefan Fischer,doe charg reparametris account solvent screen molecular mechan calcul exampl myosin,,,In Silico Biology,2003,jsmith-16,DBLP_benchmark_14
P2-3386,J. Smith,Jeremy C. Smith,Sonja M. Schwarzl; Thomas B. Tschopp; Stefan Fischer,calcul ligand bind free energi improv continuum solvent electrostat ideal ga entropi correct,,,Journal Of Computational Chemistry,2002,jsmith-16,DBLP_benchmark_14
P2-1563,J. Smith,Joshua R. Smith,Barrett O. Comiskey,modul inform hide imag,,,Information Hiding,1996,jsmith-17,DBLP_benchmark_14
P2-1564,J. Smith,Joshua R. Smith,Chris Dodge,develop steganographi,,,Information Hiding,1999,jsmith-17,DBLP_benchmark_14
P2-211,J. Smith,Joshua R. Smith,Thomas G. Zimmerman; Joseph A. Paradiso; David Allport; Neil Gershenfeld,appli electr field sens human comput interfac,,,Chi,1995,jsmith-17,DBLP_benchmark_14
P2-1105,J. Smith,Joshua R. Smith,,design biomorph interact genet algorithm,,,Icga,1991,jsmith-17,DBLP_benchmark_14
P2-3104,J. Smith,Joshua R. Smith,,field mice extract hand geometri electr field measur,,,Ibm Systems Journal,1996,jsmith-17,DBLP_benchmark_14
P2-1822,J. Smith,Jeffrey E. Smith,Mieczyslaw M. Kokar; Kevin M. Passino; Kenneth Baclawski,map applic control architectur specif problem,,,Iwsas,2000,jsmith-18,DBLP_benchmark_14
P2-2627,J. Smith,Jeffrey E. Smith,Kenneth Baclawski; Mieczyslaw M. Kokar; Jerzy Letkowski,consist check rm odp specif,,,Woodpecker,2001,jsmith-18,DBLP_benchmark_14
P2-3818,J. Smith,Jeffrey E. Smith,Kenneth Baclawski; Mieczyslaw M. Kokar; Paul A. Kogut; Lewis Hart; Jerzy Letkowski; Pat Emery,extend unifi model languag ontolog develop,,,Software And System Modeling,2002,jsmith-18,DBLP_benchmark_14
P2-2482,J. Smith,Jeffrey E. Smith,Mieczyslaw M. Kokar; Kenneth Baclawski,formal verif uml diagram step code gener,,,Puml,2001,jsmith-18,DBLP_benchmark_14
P2-2481,J. Smith,Jeffrey E. Smith,Kenneth Baclawski; Mieczyslaw M. Kokar; Paul A. Kogut; Lewis Hart; William S. Holmes Iii; Jerzy Letkowski; Michael L. Aronson,extend uml support ontolog engin semant web,,,Uml,2001,jsmith-18,DBLP_benchmark_14
P2-2470,J. Smith,Jim Q. Smith,Raffaella Settimi,geometri bayesian graphic model hidden variabl,,,Uai,1998,jsmith-19,DBLP_benchmark_14
P2-2471,J. Smith,Jim Q. Smith,Raffaella Settimi; A. S. Gargoum,approxim learn complex dynam bayesian network,,,Uai,1999,jsmith-19,DBLP_benchmark_14
P2-1910,J. Smith,Jim Q. Smith,Roberto O. Puch,find train packag assess forens fibr evid,,,Micai,2002,jsmith-19,DBLP_benchmark_14
P2-2688,J. Smith,Jim Q. Smith,K. Nadia Papamichail,fast bay dynam junction forest,,,Artif. Intell.,1999,jsmith-19,DBLP_benchmark_14
P2-1702,J. Smith,James E. Smith,,retrospect studi branch predict strategi,,,25 Years Isca: Retrospectives And Reprints,1998,jsmith-1,DBLP_benchmark_14
P2-1701,J. Smith,James E. Smith,,studi branch predict strategi,,,Isca,1981,jsmith-1,DBLP_benchmark_14
P2-1697,J. Smith,James E. Smith,Subbarao Palacharla; Norman P. Jouppi,complex effect superscalar processor,,,Isca,1997,jsmith-1,DBLP_benchmark_14
P2-1699,J. Smith,James E. Smith,S. Subramanya Sastry; Rastislav Bodik,rapid profil stratifi sampl,,,Isca,2001,jsmith-1,DBLP_benchmark_14
P2-1690,J. Smith,James E. Smith,Ho-Seop Kim,instruct set microarchitectur instruct level distribut process,,,Isca,2002,jsmith-1,DBLP_benchmark_14
P2-1913,J. Smith,James E. Smith,Ramon Canal; Antonio Gonzalez,veri low power pipelin signific compress,,,Micro,2000,jsmith-1,DBLP_benchmark_14
P2-1327,J. Smith,James E. Smith,Steven R. Kunkel,pipelin regist storag architectur,,,Icpp,1986,jsmith-1,DBLP_benchmark_14
P2-1691,J. Smith,James E. Smith,Steven R. Kunkel,optim pipelin supercomput,,,Isca,1986,jsmith-1,DBLP_benchmark_14
P2-3910,J. Smith,James E. Smith,Paklin Lam,theori total check system design,,,Ieee Trans. Computers,1983,jsmith-1,DBLP_benchmark_14
P2-2217,J. Smith,James E. Smith,Corinna G. Lee,studi partit vector regist file,,,Sc,1992,jsmith-1,DBLP_benchmark_14
P2-3911,J. Smith,James E. Smith,Gernot Metze,strongli fault secur logic network,,,Ieee Trans. Computers,1978,jsmith-1,DBLP_benchmark_14
P2-1539,J. Smith,James E. Smith,Sebastien Nussbaum,model superscalar processor statist simul,,,Ieee Pact,2001,jsmith-1,DBLP_benchmark_14
P2-80,J. Smith,James E. Smith,Sebastien Nussbaum,statist simul symmetr multiprocessor system,,,Annual Simulation Symposium,2002,jsmith-1,DBLP_benchmark_14
P2-1713,J. Smith,James E. Smith,Shlomo Weiss,instruct issu logic pipelin supercomput,,,Isca,1984,jsmith-1,DBLP_benchmark_14
P2-2921,J. Smith,James E. Smith,Shlomo Weiss,powerpc alpha tale risc,,,Ieee Computer,1994,jsmith-1,DBLP_benchmark_14
P2-121,J. Smith,James E. Smith,Shlomo Weiss,studi scalar compil techniqu pipelin supercomput,,,Asplos,1987,jsmith-1,DBLP_benchmark_14
P2-4045,J. Smith,James E. Smith,Shlomo Weiss,studi scalar compil techniqu pipelin supercomput,,,Acm Trans. Math. Softw.,1990,jsmith-1,DBLP_benchmark_14
P2-2362,J. Smith,James E. Smith,Jason F. Cantin; Mikko H. Lipasti,complex verifi memori coher,,,Spaa,2003,jsmith-1,DBLP_benchmark_14
P2-1682,J. Smith,James E. Smith,Ashutosh S. Dhodapkar,manag multi configur hardwar dynam work set analysi,,,Isca,2002,jsmith-1,DBLP_benchmark_14
P2-3414,J. Smith,James E. Smith,George Cai; Ashutosh S. Dhodapkar,integr perform power thermal model,,,"Journal Of Circuits, Systems, And Computers",2002,jsmith-1,DBLP_benchmark_14
P2-1915,J. Smith,James E. Smith,Roger Espasa; Mateo Valero,order vector architectur,,,Micro,1997,jsmith-1,DBLP_benchmark_14
P2-1920,J. Smith,James E. Smith,Subbarao Palacharla,decoupl integ execut superscalar processor,,,Micro,1995,jsmith-1,DBLP_benchmark_14
P2-2213,J. Smith,James E. Smith,Leonidas I. Kontothanassis; Rabin A. Sugumar; Greg Faanes; Michael L. Scott,cach perform vector supercomput,,,Sc,1994,jsmith-1,DBLP_benchmark_14
P2-3913,J. Smith,James E. Smith,Shlomo Weiss; Nicholas Y. Pang,simul studi decoupl architectur comput,,,Ieee Trans. Computers,1986,jsmith-1,DBLP_benchmark_14
